dt,absolute_humidity,accxnegmax,accxposmax,accynegmax,accyposmax,accznegmax,acczposmax,batt,co2,dewpoint,humidity,laeqx,lafmax,lafmin,light,pm10p0,pm1p0,pm2p5,pm4p0,pressure,rsrp,snr,temperature,tvoc,uptime
2024-12-22 14:37:18.372Z,5.288105138989943,,,,,,,40,604,2.0931046,33.21883773803711,47.13767623901367,68.73146057128906,34.3679084777832,0.0,0.0,0.0,0.0,0.0,974.7396240234375,-88.0,4.0,18.5919132232666,0,1209125
2024-12-22 14:47:18.212Z,5.302676389508984,,,,,,,40,604,2.134063,33.22188949584961,48.311580657958984,76.30975341796875,34.111446380615234,0.0,,,,,974.79541015625,-89.0,4.0,18.637231826782227,2,1209725
2024-12-22 14:57:18.616Z,5.308353923765429,,,,,,,40,605,2.149861,33.22799301147461,51.156856536865234,75.05821228027344,34.4133415222168,28.0,,,,,974.7908325195312,-89.0,5.0,18.6523380279541,2,1210325
2024-12-22 15:07:18.536Z,5.309603187910768,,,,,,,40,609,2.1526237,33.25545883178711,46.16903305053711,67.0386734008789,35.68793869018555,0.0,,,,,974.849365234375,-88.0,4.0,18.64226722717285,0,1210925
2024-12-22 15:17:18.371Z,5.304453643528155,,,,,,,40,611,2.1395612,33.20357894897461,45.9593620300293,63.19528579711914,34.42014694213867,0.0,,,,,975.0169067382812,-89.0,5.0,18.6523380279541,2,1211525
2024-12-22 15:27:18.292Z,5.309115940896918,,,,,,,40,615,2.1513376,33.25240707397461,44.93869400024414,62.844322204589844,33.458126068115234,0.0,,,,,975.0843505859375,-90.0,5.0,18.64226722717285,2,1212125
2024-12-22 15:37:18.712Z,5.300727977260985,,,,,,,40,620,2.1289136,33.20968246459961,45.68131637573242,64.87452697753906,33.6873664855957,0.0,0.0,0.0,0.0,0.0,975.1680297851562,-88.0,0.0,18.637231826782227,1,1212725
2024-12-22 15:47:18.053Z,5.301215080322985,,,,,,,40,624,2.130201,33.21273422241211,45.7679328918457,68.11505889892578,33.1199836730957,0.0,,,,,975.2048950195312,-89.0,3.0,18.637231826782227,2,1213325
2024-12-22 15:57:18.455Z,5.313013917007714,,,,,,,40,629,2.1616235,33.27682113647461,44.20927810668945,62.584869384765625,33.5161247253418,0.0,,,,,975.3318481445312,-90.0,3.0,18.64226722717285,0,1213925
2024-12-22 16:07:18.294Z,5.306466265573698,,,,,,,40,630,2.143807,33.25545883178711,46.596866607666016,61.7631950378418,34.23550796508789,56.0,,,,,975.3668212890625,-89.0,5.0,18.6321964263916,1,1214525
2024-12-22 16:17:19.892Z,5.30852162625298,,,,,,,40,632,2.1495013,33.25851058959961,55.25731658935547,76.23921966552734,35.40787124633789,0.0,,,,,975.3771362304688,-88.0,2.0,18.637231826782227,0,1215125
2024-12-22 16:27:18.212Z,5.313880368813804,,,,,,,40,634,2.1636412,33.292083740234375,44.6873664855957,68.44451141357422,35.07139205932617,28.0,,,,,975.5518188476562,-88.0,5.0,18.637231826782227,0,1215725
2024-12-22 16:37:18.633Z,5.319391736820242,,,,,,,40,634,2.177368,33.356170654296875,43.81241989135742,60.71492385864258,35.38961410522461,0.0,0.0,0.0,0.0,0.0,975.5973510742188,-88.0,0.0,18.62212562561035,2,1216325
2024-12-22 16:47:17.973Z,5.330739017004442,,,,,,,40,638,2.2099173,33.328704833984375,47.2873649597168,76.7032699584961,35.219905853271484,0.0,,,,,975.6296997070312,-88.0,4.0,18.6724796295166,0,1216925
2024-12-22 16:57:18.293Z,5.331116316629556,,,,,,,40,639,2.210642,33.340911865234375,44.46810531616211,62.1805305480957,33.98390197753906,0.0,,,,,975.7080078125,-88.0,3.0,18.667444229125977,0,1217525
2024-12-22 17:07:18.139Z,5.322161120867799,,,,,,,40,644,2.185467,33.343963623046875,45.051326751708984,61.26137161254883,33.35639572143555,28.0,,,,,975.9430541992188,-88.0,1.0,18.637231826782227,0,1218125
2024-12-22 17:17:17.975Z,5.339671548089421,,,,,,,40,650,2.2325914,33.414154052734375,44.93173599243164,65.54996490478516,33.216243743896484,0.0,,,,,976.0795288085938,-88.0,1.0,18.657373428344727,1,1218725
2024-12-22 17:27:21.932Z,5.357309227694413,2.145190954208374,22.830970764160156,-6.895258903503418,78.14627075195312,-3.2177867889404297,78.14627075195312,40,657,2.2812545,33.435516357421875,51.82835006713867,85.18172454833984,32.771053314208984,0.0,,,,,976.1378173828125,-98.0,-8.0,18.70269203186035,0,1219325
2024-12-22 17:37:18.621Z,5.365418394970363,8.73331069946289,8.73331069946289,-3.9453117847442627,-3.9453117847442627,-1.5704638957977295,-1.5704638957977295,40,658,2.3054178,33.377532958984375,42.40277099609375,66.50552368164062,32.21084213256836,0.0,0.0,0.0,0.0,0.0,976.2355346679688,-92.0,-3.0,18.758081436157227,0,1219925
2024-12-22 17:47:18.167Z,5.395631134919936,,,,,,,40,660,2.3882463,33.417205810546875,42.43732833862305,61.163753509521484,32.33090591430664,0.0,,,,,976.328125,-91.0,-5.0,18.8336124420166,0,1220525
2024-12-22 17:57:18.184Z,5.392447728927644,,,,,,,40,664,2.3794253,33.417205810546875,42.71829605102539,57.03000259399414,32.37968826293945,0.0,,,,,976.4202270507812,-91.0,-1.0,18.82354164123535,0,1221125
2024-12-22 18:07:17.973Z,5.398436614616244,,,,,,,40,665,2.396347,33.404998779296875,45.931095123291016,74.58866882324219,33.14461898803711,112.0,,,,,976.5128784179688,-92.0,-4.0,18.848718643188477,0,1221725
2024-12-22 18:17:17.891Z,5.4150863740446376,,,,,,,40,667,2.439331,33.517913818359375,45.80271530151367,59.069969177246094,32.99909591674805,84.0,,,,,976.7487182617188,-92.0,-3.0,18.84368324279785,0,1222325
