dt,absolute_humidity,accxnegmax,accxposmax,accynegmax,accyposmax,accznegmax,acczposmax,altitude,batt,co2,dewpoint,fdebug1,fdebug2,fdebug3,humidity,laeqx,lafmax,lafmin,latitude,light,longitude,pm10p0,pm1p0,pm2p5,pm4p0,pressure,rsrp,shock,snr,temperature,tvoc,uptime
2024-11-28 19:27:35.988Z,7.56045372203793,,,,,,,,80,581,7.367817,,,,39.94195556640625,42.95167922973633,47.73173141479492,34.91537094116211,,168.0,,4.9077677726745605,1.567431926727295,3.110989809036255,4.270147800445557,1005.0245361328125,-97.0,,-3.0,21.5728702545166,96,3385329
2024-11-28 19:37:35.817Z,7.561894780153572,,,,,,,,80,581,7.3724504,,,,39.868709564208984,42.39127731323242,52.85383224487305,34.9240837097168,,0.0,,,,,,1005.1089477539062,-97.0,,5.0,21.608118057250977,95,3385929
2024-11-28 19:47:35.652Z,7.558801883695935,,,,,,,,80,582,7.3656745,,,,39.887020111083984,42.81893539428711,49.31755447387695,34.66506576538086,,0.0,,,,,,1005.165771484375,-97.0,,2.0,21.5930118560791,94,3386529
2024-11-28 19:57:35.785Z,7.548069546576213,,,,,,,,80,583,7.3443623,,,,39.853450775146484,42.432125091552734,47.17887496948242,34.62093734741211,,0.0,,,,,,1005.1875610351562,-97.0,,-10.0,21.58294105529785,94,3387129
2024-11-28 20:07:35.625Z,7.542095052770366,,,,,,,,80,590,7.3319893,,,,39.856502532958984,45.72457504272461,59.95566177368164,37.23762893676758,,0.0,,,,,,1005.2026977539062,-97.0,,6.0,21.567834854125977,89,3387729
2024-11-28 20:17:35.621Z,7.565195290179417,,,,,,,,80,598,7.376726,,,,39.97857666015625,45.42061233520508,49.9562873840332,39.94150161743164,,0.0,,,,,,1005.3607788085938,-97.0,,0.0,21.567834854125977,92,3388329
2024-11-28 20:27:35.494Z,7.564376032980658,,,,,,,,80,611,7.375669,,,,39.95111083984375,44.90781784057617,49.79403305053711,34.51894760131836,,0.0,,2.734574794769287,0.9335489869117737,1.7686059474945068,2.3917829990386963,1005.3274536132812,-97.0,,6.0,21.577905654907227,89,3388929
2024-11-28 20:37:35.598Z,7.562725420242482,,,,,,,,80,626,7.3735304,,,,39.896175384521484,46.07035446166992,57.87704086303711,35.22539138793945,,56.0,,,,,,1005.2846069335938,-97.0,,3.0,21.598047256469727,88,3389529
2024-11-28 20:47:35.450Z,7.569790768166439,,,,,,,,80,641,7.38693,,,,39.94500732421875,45.40849685668945,51.06691360473633,39.3083381652832,,0.0,,,,,,1005.2977294921875,-97.0,,-1.0,21.5930118560791,88,3390129
2024-11-28 20:57:35.362Z,7.580778929731576,,,,,,,,80,644,7.4081564,,,,40.00299072265625,42.22507858276367,48.65022659301758,33.59181594848633,,140.0,,,,,,1005.37451171875,-97.0,,5.0,21.5930118560791,89,3390729
2024-11-28 21:07:35.575Z,7.581015676457603,,,,,,,,80,643,7.4080863,,,,40.02740478515625,43.32517623901367,49.4960823059082,33.64804458618164,,0.0,,,,,,1005.4204711914062,-97.0,,4.0,21.58294105529785,89,3391329
2024-11-28 21:17:35.500Z,7.67273393811372,,,,,,,,80,644,7.5847387,,,,40.48822784423828,43.150943756103516,50.08236312866211,34.34853744506836,,0.0,,,,,,1005.5297241210938,-97.0,,3.0,21.5930118560791,90,3391929
2024-11-28 21:27:35.263Z,7.683143775385955,,,,,,,,80,643,7.6046114,,,,40.54315948486328,44.65263748168945,50.48451614379883,37.17979049682617,,84.0,,3.3778088092803955,0.9576629996299744,2.070349931716919,2.913832902908325,1005.4201049804688,-97.0,,3.0,21.5930118560791,86,3392529
2024-11-28 21:37:35.106Z,7.676702447807054,,,,,,,,80,643,7.5941653,,,,40.427188873291016,42.07038497924805,47.7617073059082,34.359439849853516,,0.0,,,,,,1005.5850219726562,-97.0,,5.0,21.628259658813477,86,3393129
2024-11-28 21:47:35.535Z,7.645247264371461,,,,,,,,80,638,7.5329437,,,,40.308170318603516,41.5324592590332,47.3681526184082,34.402103424072266,,0.0,,,,,,1005.7322998046875,-97.0,,-14.0,21.608118057250977,87,3393729
2024-11-28 21:57:35.466Z,7.619419053227292,,,,,,,,80,629,7.48285,,,,40.195255279541016,42.17222213745117,50.2082633972168,33.38441848754883,,0.0,,,,,,1005.6969604492188,-97.0,,2.0,21.598047256469727,86,3394329
2024-11-28 22:07:35.301Z,7.613633413096792,,,,,,,,80,626,7.4717264,,,,40.16473388671875,44.30544662475586,47.59383773803711,37.44767379760742,,56.0,,,,,,1005.7247924804688,-98.0,,-4.0,21.598047256469727,82,3394929
2024-11-28 22:17:35.124Z,7.589222392851821,,,,,,,,80,622,7.423658,,,,40.08233642578125,41.80288314819336,47.182559967041016,34.1557502746582,,0.0,,,,,,1005.859375,-98.0,,4.0,21.577905654907227,80,3395529
2024-11-28 22:27:35.524Z,7.586795572491705,,,,,,,,80,619,7.4192405,,,,40.05792236328125,41.36249923706055,46.880558013916016,33.418209075927734,,0.0,,2.261462926864624,0.8802749514579773,1.525891900062561,2.0004308223724365,1005.788330078125,-98.0,,0.0,21.58294105529785,78,3396129
2024-11-28 22:37:35.576Z,7.572893209977673,,,,,,,,80,615,7.3937163,,,,39.92669677734375,42.116275787353516,47.06489181518555,33.5347785949707,,84.0,,,,,,1005.9129638671875,-98.0,,5.0,21.608118057250977,77,3396729
2024-11-28 22:47:35.602Z,7.558473359437598,,,,,,,,80,613,7.3645115,,,,39.908382415771484,42.98392105102539,46.43617630004883,37.46236038208008,,0.0,,,,,,1005.7416381835938,-98.0,,-3.0,21.58294105529785,83,3397329
2024-11-28 22:57:35.430Z,7.548196285670369,,,,,,,,80,613,7.344344,,,,39.865657806396484,41.31406784057617,47.93722152709961,33.68039321899414,,0.0,,,,,,1005.7857666015625,-98.0,,4.0,21.577905654907227,75,3397929
2024-11-28 23:07:35.461Z,7.517840561443717,,,,,,,,80,613,7.2848873,,,,39.728328704833984,42.2451057434082,51.44649887084961,34.22117233276367,,0.0,,,,,,1005.827392578125,-98.0,,1.0,21.567834854125977,81,3398529
2024-11-28 23:17:45.832Z,7.504118118458382,,,,,,,,80,613,7.2579155,,,,39.667293548583984,43.09171676635742,47.14302444458008,36.45302200317383,,28.0,,,,,,1005.9544677734375,-96.0,,3.0,21.56279945373535,71,3399129
2024-11-28 23:27:35.243Z,7.519522524803216,,,,,,,,80,612,7.2871037,,,,39.783260345458984,43.87543869018555,54.26243591308594,37.8536491394043,,56.0,,1.8256099224090576,0.6310619711875916,1.1852989196777344,1.598383903503418,1006.078125,-96.0,,4.0,21.547693252563477,75,3399729
2024-11-28 23:37:35.034Z,7.5287290204650335,,,,,,,,80,610,7.307367,,,,39.728328704833984,41.89157485961914,46.40729904174805,34.2551383972168,,56.0,,,,,,1006.1300048828125,-95.0,,4.0,21.5930118560791,75,3400329
