dt,absolute_humidity,accxnegmax,accxposmax,accynegmax,accyposmax,accznegmax,acczposmax,batt,co2,dewpoint,humidity,laeqx,lafmax,lafmin,light,pm10p0,pm1p0,pm2p5,pm4p0,pressure,rsrp,shock,snr,temperature,tvoc,uptime
2024-11-30 00:28:54.931Z,6.604938784992989,,,,,,,60,1145,4.833681,64.3655014038086,40.77157211303711,45.39169692993164,32.53239059448242,,,,,,1010.7470092773438,-89.0,,0.0,11.315760612487793,3,3490330
2024-11-30 00:39:02.461Z,6.613995497207336,,,,,,,60,1147,4.8518586,64.55471801757812,41.22153854370117,47.3805046081543,33.13347244262695,,,,,,1010.9117431640625,-110.0,,-6.0,11.290583610534668,6,3490930
2024-11-30 00:48:54.850Z,6.604702679725821,,,,,,,60,1150,4.8299603,64.58523559570312,41.08290481567383,48.20729446411133,33.082218170166016,,1.8807969093322754,1.3463929891586304,1.6281429529190063,1.791137933731079,1011.0381469726562,-89.0,,1.0,11.260371208190918,9,3491530
2024-11-30 00:58:54.692Z,6.618832818745813,,,,,,,60,1151,4.86117,64.68289184570312,41.119319915771484,46.55598068237305,33.51345443725586,,,,,,1011.0843505859375,-87.0,,1.0,11.270441055297852,4,3492130
2024-11-30 01:09:09.731Z,6.617426333981796,,,,,,,60,1159,4.8560824,64.81106567382812,40.77647399902344,45.408565521240234,33.03207015991211,,,,,,1011.1148071289062,-89.0,,-3.0,11.235194206237793,5,3492730
2024-11-30 01:18:54.610Z,6.609771826401486,,,,,,,60,1165,4.8374553,64.87821197509766,41.026920318603516,45.5886116027832,33.21164321899414,,,,,,1011.1766357421875,-88.0,,2.0,11.199946403503418,11,3493330
2024-11-30 01:28:54.532Z,6.606977470158738,,,,,,,60,1178,4.830522,64.91177368164062,40.85197830200195,45.01276779174805,33.44514083862305,,,,,,1011.1682739257812,-88.0,,2.0,11.184840202331543,9,3493930
2024-11-30 01:38:54.937Z,6.608207605839629,,,,,,,60,1174,4.831441,65.04605865478516,40.8320426940918,45.23197555541992,32.96174240112305,,,,,,1011.3480224609375,-88.0,,3.0,11.154627799987793,9,3494530
2024-11-30 01:48:54.785Z,6.617389288376925,,,,,,,60,1182,4.850755,65.17728424072266,41.062503814697266,48.32648849487305,33.35683822631836,,11.975112915039062,3.8297817707061768,7.593955993652344,10.420380592346191,1011.4481201171875,-88.0,,3.0,11.144556999206543,12,3495130
2024-11-30 01:58:54.610Z,6.6322061319445575,,,,,,,60,1197,4.8839784,65.24137115478516,40.7900276184082,44.96101760864258,32.81020736694336,,,,,,1011.4017333984375,-88.0,,0.0,11.164698600769043,11,3495730
